vipper_131 (04/23/07  8:43:12 PM): hello 
vipper_131 (04/27/07  4:43:00 PM): well ya
14 yr old girl(04/27/07  4:43:04 PM): :)
vipper_131 (04/27/07  4:43:14 PM): wish i had a great photo to put onmy computer
14 yr old girl(04/27/07  4:43:24 PM): well u got the ones from my prof lol
vipper_131 (04/27/07  4:43:46 PM): not good anof
14 yr old girl(04/27/07  4:44:25 PM): do u got a digi?
vipper_131 (04/27/07  4:44:35 PM): no web cam 
14 yr old girl(04/27/07  4:44:56 PM): thats rite
vipper_131 (04/27/07  4:45:06 PM): lol 
14 yr old girl(04/27/07  4:45:14 PM): :)
14 yr old girl(04/27/07  4:45:21 PM): well i aint takin no naked pic
vipper_131 (04/27/07  4:45:26 PM): hmm 
vipper_131 (04/27/07  4:45:29 PM): bakini ones <span class="code_c">(<i>whats a bakini? is that like an italian dish?</i>)
14 yr old girl(04/27/07  4:45:38 PM): u mite not like how i look
vipper_131 (04/27/07  4:45:43 PM): what ever
vipper_131 (04/27/07  4:45:52 PM): do u  shave ur pussy area<span class="code_c">(<i>i soo hate that question and it's always asked</i>)
14 yr old girl(04/27/07  4:46:38 PM): yah
14 yr old girl(04/27/07  4:46:40 PM): is that ok?
vipper_131 (04/27/07  4:46:52 PM): thats sweet
vipper_131 (04/27/07  4:46:52 PM): maybe ill eat u out first <span class="code_c">(<i>this guy is smooth!! NOT</i>)
14 yr old girl(04/27/07  4:47:07 PM): i never had that done before
vipper_131 (04/27/07  4:47:14 PM): wanan
14 yr old girl(04/27/07  4:47:14 PM): i heard its rlly nice
vipper_131 (04/27/07  4:47:19 PM): wana
14 yr old girl(04/27/07  4:47:20 PM): i think it would be kool
vipper_131 (04/27/07  4:47:23 PM): cool 
vipper_131 (04/27/07  4:48:14 PM): anything ells u wana try
14 yr old girl(04/27/07  4:48:28 PM): well that prtty much covers everyting dont it?
vipper_131 (04/27/07  4:48:41 PM): lol ya
vipper_131 (04/27/07  4:48:41 PM): lol
14 yr old girl(04/27/07  4:48:49 PM): :D
14 yr old girl(04/27/07  4:49:00 PM): wat time do u think u will be here?
vipper_131 (04/27/07  4:50:25 PM): dont no 
14 yr old girl(04/27/07  4:51:28 PM): i got skool  but i will skip if u r gonna be here during the dday
vipper_131 (04/27/07  4:53:41 PM): hmm 
vipper_131 (04/27/07  4:53:41 PM): dont no u have a number
14 yr old girl(04/27/07  4:53:57 PM): i would have to call u im srry
vipper_131 (04/27/07  4:54:09 PM): hmm *removed*
14 yr old girl(04/27/07  4:54:15 PM): ok
14 yr old girl(04/27/07  4:54:31 PM): u want me to call u like on sunday and see if u r still comin?
vipper_131 (04/27/07  4:54:45 PM): ya
14 yr old girl(04/27/07  4:54:49 PM): kool
vipper_131 (04/27/07  4:54:54 PM): monday mornig whould be good 
14 yr old girl(04/27/07  4:54:58 PM): ok
14 yr old girl(04/27/07  4:55:04 PM): i gotta tell u sumthing tho
vipper_131 (04/27/07  4:55:10 PM): whar 
14 yr old girl(04/27/07  4:55:11 PM): we aint rich
vipper_131 (04/27/07  4:55:12 PM): whatr 
14 yr old girl(04/27/07  4:55:18 PM): we live in apts
vipper_131 (04/27/07  4:56:08 PM): thats ok neathere am i 
14 yr old girl(04/27/07  4:56:14 PM): is that ok? i mean we dont have like a real nice house or anuything
vipper_131 (04/27/07  4:56:24 PM): i dont care hun 
vipper_131 (04/27/07  4:56:25 PM): no bigy
14 yr old girl(04/27/07  4:56:28 PM): kool
14 yr old girl(04/27/07  4:56:38 PM): ok i feel better
14 yr old girl(04/27/07  4:56:40 PM): lol
vipper_131 (04/27/07  4:57:08 PM): 'lol 
14 yr old girl(04/27/07  4:57:19 PM): im weird about that stuff
vipper_131 (04/27/07  4:58:09 PM): y 
vipper_131 (04/27/07  4:58:33 PM): anyway i have to go for a wile 
14 yr old girl(04/27/07  4:58:34 PM): idk im aint ashamed of where we live but not like real proud of it either
14 yr old girl(04/27/07  4:58:40 PM): ok
vipper_131 (04/27/07  4:58:51 PM): anyways send me ofline qwestions u think of
14 yr old girl(04/27/07  4:59:03 PM): ok :)
14 yr old girl(04/27/07  4:59:05 PM): cya


14 yr old girl(04/28/07 10:01:29 PM): hey u
vipper_131 (04/28/07 10:23:31 PM): hay 
vipper_131 (04/28/07 10:23:31 PM): whats up
14 yr old girl(04/28/07 10:23:59 PM): hi
vipper_131 (04/28/07 10:24:08 PM): u miss me
14 yr old girl(04/28/07 10:24:40 PM): brb
vipper_131 (04/28/07 10:24:42 PM): k 
vipper_131 (04/28/07 10:25:38 PM): u must have dile up
14 yr old girl(04/28/07 10:29:39 PM): i like that song
vipper_131 (04/28/07 10:29:43 PM): lol
14 yr old girl(04/28/07 10:29:55 PM): so my dad is off on monday
vipper_131 (04/28/07 10:30:01 PM): hmm 
vipper_131 (04/28/07 10:30:03 PM): that sucks 
vipper_131 (04/28/07 10:30:08 PM): can u sneek out 
14 yr old girl(04/28/07 10:30:09 PM): how come?
14 yr old girl(04/28/07 10:30:15 PM): nooo i mean he works not that he is off
vipper_131 (04/28/07 10:30:29 PM): oo so u wana fuck in ur bed
vipper_131 (04/28/07 10:30:40 PM): lol 
14 yr old girl(04/28/07 10:30:41 PM): if u wanna
vipper_131 (04/28/07 10:30:45 PM): no if u wana 
14 yr old girl(04/28/07 10:31:00 PM): it would be kool
vipper_131 (04/28/07 10:31:13 PM): so u wana  make me ur first then 
vipper_131 (04/28/07 10:31:16 PM): no preshur
14 yr old girl(04/28/07 10:31:25 PM): well i think it would be kool
14 yr old girl(04/28/07 10:31:30 PM): just be easy first time
vipper_131 (04/28/07 10:31:37 PM): that could work 
vipper_131 (04/28/07 10:31:50 PM): but i wont unles u tell me or show me u wana when i git there
14 yr old girl(04/28/07 10:32:06 PM): ok
14 yr old girl(04/28/07 10:32:10 PM): thats kool
vipper_131 (04/28/07 10:32:17 PM): i dont preshur u 
14 yr old girl(04/28/07 10:32:18 PM): i can skip skool that day if u r comin early
vipper_131 (04/28/07 10:32:26 PM): kk call me 
14 yr old girl(04/28/07 10:32:30 PM): k i will
vipper_131 (04/28/07 10:32:38 PM): in the morning 
14 yr old girl(04/28/07 10:32:40 PM): wat time do u like think u will around my area
vipper_131 (04/28/07 10:32:42 PM): and ill let u no 
vipper_131 (04/28/07 10:32:51 PM): hmm noon or after noon 
14 yr old girl(04/28/07 10:32:54 PM): ok
vipper_131 (04/28/07 10:32:59 PM): u have a way to git ahold of u 
14 yr old girl(04/28/07 10:33:25 PM): im afraid cauz it will show up on my cell and when he aint here he forwards his calls to his cell
14 yr old girl(04/28/07 10:33:49 PM): but i promise i will call like around 10
vipper_131 (04/28/07 10:33:54 PM): ok 
vipper_131 (04/28/07 10:33:56 PM): that will work 
14 yr old girl(04/28/07 10:34:01 PM): kool
vipper_131 (04/28/07 10:34:20 PM): if i dont awser leave me a mesage and  tell me what u want me to do 
vipper_131 (04/28/07 10:34:21 PM): k 
14 yr old girl(04/28/07 10:34:28 PM): ok thats kool
14 yr old girl(04/28/07 10:34:35 PM): and there will be room to park ur semi
vipper_131 (04/28/07 10:34:41 PM): cool 
vipper_131 (04/28/07 10:34:44 PM): were at ur house
14 yr old girl(04/28/07 10:34:53 PM): yah its apts remember?
vipper_131 (04/28/07 10:35:15 PM): cool 
14 yr old girl(04/28/07 10:35:24 PM): yah they suck but its where we live lol
vipper_131 (04/28/07 10:35:25 PM): sooo hmm u think of any qwestions for me
14 yr old girl(04/28/07 10:35:48 PM): wat color is ur truck?
vipper_131 (04/28/07 10:35:54 PM): white
14 yr old girl(04/28/07 10:36:01 PM): u gonna take me for a ride?
vipper_131 (04/28/07 10:36:06 PM): if u want
14 yr old girl(04/28/07 10:36:11 PM): i want lol
vipper_131 (04/28/07 10:36:20 PM): lol u wana give me head weil i drive <span class="code_c">(<i>just ewwwwww!</i>)
14 yr old girl(04/28/07 10:36:29 PM): i dont want u to wreck!!!
vipper_131 (04/28/07 10:36:39 PM): lol  i dought i will 
14 yr old girl(04/28/07 10:37:29 PM): lol
vipper_131 (04/28/07 10:37:41 PM): so u wana
14 yr old girl(04/28/07 10:37:46 PM): yah
vipper_131 (04/28/07 10:37:54 PM): hmm cool 
vipper_131 (04/28/07 10:38:05 PM): what all u wana try with me
14 yr old girl(04/28/07 10:38:19 PM): hmm   well i will have to wait and see when u get here lol
vipper_131 (04/28/07 10:38:26 PM): how come
14 yr old girl(04/28/07 10:38:42 PM): cauz i will have to see what i am brave enuff to do 
vipper_131 (04/28/07 10:38:52 PM): lol 
vipper_131 (04/28/07 10:39:07 PM): well no need to prove nothing like i sayed all i want is to make u happy 
14 yr old girl(04/28/07 10:39:31 PM): awww that is so sweet
vipper_131 (04/28/07 10:39:40 PM): so u tell me how to do that 
14 yr old girl(04/28/07 10:40:03 PM): im sure u will make me happy

vipper_131 (04/29/07 12:55:41 PM): how so 
14 yr old girl(04/29/07 10:46:53 PM): im srry about last nite y ahoo booted me and i couldnt get back on
vipper_131 (04/29/07 10:47:24 PM): no  prob
vipper_131 (04/29/07 10:47:37 PM): so whats on ur mind
14 yr old girl(04/29/07 10:47:50 PM): just wonderin if u r still comin tomorrow
vipper_131 (04/29/07 10:48:15 PM): what do uwant
14 yr old girl(04/29/07 10:48:25 PM): wat do u mean?
vipper_131 (04/29/07 10:48:40 PM): whats do u want me to do
14 yr old girl(04/29/07 10:48:50 PM): lol how come u keep askin?
vipper_131 (04/29/07 10:48:56 PM): lol 
vipper_131 (04/29/07 10:48:58 PM): cuz
14 yr old girl(04/29/07 10:49:03 PM): cuz y?
14 yr old girl(04/29/07 10:49:10 PM): if u dont wanna come its ok
vipper_131 (04/29/07 10:49:32 PM): i never sayed that 
14 yr old girl(04/29/07 10:49:51 PM): ok just checkin cauz i didnt know if i should skip or not
vipper_131 (04/29/07 10:50:35 PM): dont no call me tomaro morning around 10 or so k
14 yr old girl(04/29/07 10:50:43 PM): ok
vipper_131 (04/29/07 10:50:57 PM): do u want me to still 
14 yr old girl(04/29/07 10:51:12 PM): yah i do
vipper_131 (04/29/07 10:51:22 PM): how bad
14 yr old girl(04/29/07 10:51:29 PM): wel i rlly want u to
vipper_131 (04/29/07 10:51:38 PM): 1 -10 10 being real fucking bAD U TELL ME 
14 yr old girl(04/29/07 10:51:40 PM): if i didnt i wouldnt skip skool
14 yr old girl(04/29/07 10:51:46 PM): 9
vipper_131 (04/29/07 10:51:49 PM): HMM 
vipper_131 (04/29/07 10:51:57 PM): any qwestions u wana ask me
14 yr old girl(04/29/07 10:52:04 PM): well i think im good
14 yr old girl(04/29/07 10:52:15 PM): wel lwait
14 yr old girl(04/29/07 10:52:22 PM): i will think of sum lol
14 yr old girl(04/29/07 10:52:35 PM): do u live by urself?
vipper_131 (04/29/07 10:52:47 PM): not yer
vipper_131 (04/29/07 10:52:48 PM): t
vipper_131 (04/29/07 10:52:51 PM): yet
14 yr old girl(04/29/07 10:52:59 PM): u live with ur parents?
vipper_131 (04/29/07 10:53:15 PM): no my gand perents basment cuz im never home
14 yr old girl(04/29/07 10:53:23 PM): ahh well that aint bad
14 yr old girl(04/29/07 10:53:27 PM): u got any pets?
vipper_131 (04/29/07 10:53:41 PM): dog horse and cat
14 yr old girl(04/29/07 10:53:45 PM): wow
14 yr old girl(04/29/07 10:53:54 PM): thats kool!!  i luv animals
vipper_131 (04/29/07 10:54:07 PM): me to
14 yr old girl(04/29/07 10:54:17 PM): u got bros and sis/
vipper_131 (04/29/07 10:54:26 PM): no 
vipper_131 (04/29/07 10:54:34 PM): only child
14 yr old girl(04/29/07 10:54:38 PM): me too
14 yr old girl(04/29/07 10:54:44 PM): and i always wanted a bro or sis
vipper_131 (04/29/07 10:55:02 PM): ya 
vipper_131 (04/29/07 10:55:04 PM): me to 
14 yr old girl(04/29/07 10:55:21 PM): wat is ur fav food?
vipper_131 (04/29/07 10:55:32 PM): lol all food
14 yr old girl(04/29/07 10:55:46 PM): me too but pizzas my fav
vipper_131 (04/29/07 10:55:55 PM): lol
14 yr old girl(04/29/07 10:56:04 PM): wat was the most embarassing thing u ever did
vipper_131 (04/29/07 10:56:24 PM): lol 
vipper_131 (04/29/07 10:56:28 PM): went to scool in mypajamas 
vipper_131 (04/29/07 10:56:28 PM): lol 
14 yr old girl(04/29/07 10:56:39 PM): omg
vipper_131 (04/29/07 10:56:43 PM): and all i were is a boxers
vipper_131 (04/29/07 10:56:44 PM): lol 
vipper_131 (04/29/07 10:56:54 PM): and a t surt
vipper_131 (04/29/07 10:56:55 PM): lol
14 yr old girl(04/29/07 10:57:00 PM): did u get in trouble/
vipper_131 (04/29/07 10:57:06 PM): but now i sleep naked 
vipper_131 (04/29/07 10:57:08 PM): ya
vipper_131 (04/29/07 10:57:09 PM): lol
14 yr old girl(04/29/07 10:57:16 PM): lol
vipper_131 (04/29/07 10:57:16 PM): sener prank day
14 yr old girl(04/29/07 10:57:38 PM): ahhhh
14 yr old girl(04/29/07 10:59:03 PM): yay i did it!!
vipper_131 (04/29/07 10:59:09 PM): lol 
vipper_131 (04/29/07 10:59:16 PM): ur hot
14 yr old girl(04/29/07 10:59:21 PM): lol rlly?
vipper_131 (04/29/07 10:59:23 PM): ya
vipper_131 (04/29/07 10:59:27 PM): wow
14 yr old girl(04/29/07 10:59:29 PM): ty
14 yr old girl(04/29/07 10:59:37 PM): i dont think im too great
vipper_131 (04/29/07 10:59:43 PM): y u say that 
14 yr old girl(04/29/07 10:59:54 PM): cauz i look at my face everyday lol
vipper_131 (04/29/07 11:00:01 PM): lol 
vipper_131 (04/29/07 11:00:10 PM): so do u have a pic of ur but
14 yr old girl(04/29/07 11:00:19 PM): lol nah i dont have a pic of my butt
vipper_131 (04/29/07 11:00:24 PM): y nor
vipper_131 (04/29/07 11:00:28 PM): not 
14 yr old girl(04/29/07 11:00:35 PM): lol wel li never thought about takin a pic of my butt
vipper_131 (04/29/07 11:00:47 PM): do u have  a buble but 
vipper_131 (04/29/07 11:00:54 PM): or a aple botom but
14 yr old girl(04/29/07 11:00:54 PM): yah
14 yr old girl(04/29/07 11:01:00 PM): bubble
vipper_131 (04/29/07 11:01:04 PM):  nice
vipper_131 (04/29/07 11:01:09 PM): thong 
14 yr old girl(04/29/07 11:01:12 PM): how come/
vipper_131 (04/29/07 11:01:44 PM): i love buble buts
vipper_131 (04/29/07 11:01:47 PM): what do u were thongs or g srtings or what 
14 yr old girl(04/29/07 11:02:03 PM): well i like bikinis
vipper_131 (04/29/07 11:02:10 PM): cool 
vipper_131 (04/29/07 11:02:13 PM): do u have a thing
14 yr old girl(04/29/07 11:02:17 PM): i do
vipper_131 (04/29/07 11:02:31 PM): thong
vipper_131 (04/29/07 11:02:36 PM): u wana were it for me
14 yr old girl(04/29/07 11:02:54 PM): i will 
vipper_131 (04/29/07 11:03:00 PM): nice
14 yr old girl(04/29/07 11:03:03 PM): brb
vipper_131 (04/29/07 11:03:32 PM): k
14 yr old girl(04/29/07 11:05:40 PM): back
vipper_131 (04/29/07 11:05:47 PM): 'k 
14 yr old girl(04/29/07 11:05:51 PM): :)
vipper_131 (04/29/07 11:05:58 PM): so  u think of what all u wana do 
vipper_131 (04/29/07 11:06:01 PM): and u gana make the first move
14 yr old girl(04/29/07 11:06:15 PM): u know i aint
14 yr old girl(04/29/07 11:06:38 PM): besides guys r sposed ot do that
vipper_131 (04/29/07 11:06:40 PM): hmm so if i make the first move then u gana  take over
14 yr old girl(04/29/07 11:07:08 PM): lol well we can sort of just let things go natural/
vipper_131 (04/29/07 11:07:34 PM): hmm so if i ask u when i show up to  suck my dick as i stand whould u do it <span class="code_c">(<i>at this point i was soo sick of these questions</i>)
14 yr old girl(04/29/07 11:07:43 PM): yah
vipper_131 (04/29/07 11:07:47 PM): sweet
vipper_131 (04/29/07 11:07:53 PM): u want a condom or no 
14 yr old girl(04/29/07 11:08:16 PM): well how bout u bring sum in case we decide we want them?
vipper_131 (04/29/07 11:08:25 PM): k 
vipper_131 (04/29/07 11:08:32 PM): what kind u like
14 yr old girl(04/29/07 11:08:39 PM): lol i have no idea
vipper_131 (04/29/07 11:08:51 PM): hmm have u ise them befor 
14 yr old girl(04/29/07 11:09:00 PM): no
vipper_131 (04/29/07 11:09:39 PM): hmm 
vipper_131 (04/29/07 11:09:54 PM): u want me to git a difret areay of them 
14 yr old girl(04/29/07 11:10:08 PM): lol ok
vipper_131 (04/29/07 11:10:16 PM): soo hmm 
14 yr old girl(04/29/07 11:10:18 PM): i didnt know they made them different n stuff
vipper_131 (04/29/07 11:10:29 PM): lol 
vipper_131 (04/29/07 11:10:33 PM): ya they do 
vipper_131 (04/29/07 11:10:35 PM): lol
14 yr old girl(04/29/07 11:11:09 PM): i thought they were all the same thing
vipper_131 (04/29/07 11:11:49 PM):  lol lol 
14 yr old girl(04/29/07 11:11:59 PM): well i hope i never have to buy them
vipper_131 (04/29/07 11:12:33 PM): ill git a few difrent types 
14 yr old girl(04/29/07 11:13:01 PM): ok that would be kool
vipper_131 (04/29/07 11:13:12 PM): u want flaverd ones lol 
14 yr old girl(04/29/07 11:13:16 PM): so wat u like gotta go find out where u r going and stuff tomorrow/
14 yr old girl(04/29/07 11:13:23 PM): omg they make flavored ones?!!
vipper_131 (04/29/07 11:13:24 PM): ya
vipper_131 (04/29/07 11:13:31 PM): ya
14 yr old girl(04/29/07 11:13:37 PM): so if u aint coming this way then u wont be able to come?
vipper_131 (04/29/07 11:14:06 PM): ya\
vipper_131 (04/29/07 11:14:29 PM): but  i bet i will 
14 yr old girl(04/29/07 11:14:43 PM): kool :)
14 yr old girl(04/29/07 11:16:36 PM): hey my dad is yellin so im gonna get off here for now and i will talk to u tomorrow like around 10 or so 
vipper_131 (04/29/07 11:16:50 PM): ok if u can git back on k hun 
14 yr old girl(04/29/07 11:17:03 PM): okay :)   talk to u tomorrow!! :)


14 yr old girl(04/30/07  8:11:42 PM): u on?
14 yr old girl(04/30/07  8:27:36 PM): :(
vipper_131 (04/30/07  8:38:20 PM): hay 
vipper_131 (04/30/07  8:38:20 PM): im on now
vipper_131 (04/30/07  8:38:24 PM): im in flyig j 
14 yr old girl(04/30/07  8:38:30 PM): ok
vipper_131 (04/30/07  8:38:36 PM): so whats ur addres 
14 yr old girl(04/30/07  8:38:40 PM): i looked it up on mapquest can i just give u the link?
14 yr old girl(04/30/07  8:38:59 PM): my addy is *** highway *
14 yr old girl(04/30/07  8:39:08 PM): i live like rite on *
14 yr old girl(04/30/07  8:39:21 PM): is the flying j in jerome?
vipper_131 (04/30/07  8:39:41 PM): got booted 
vipper_131 (04/30/07  8:39:45 PM): what was the lingk 
14 yr old girl(04/30/07  8:40:11 PM): -http://maps.google.com/maps
vipper_131 (04/30/07  8:40:18 PM): hmm  u wana eat with me or u all ready eat or what u gana make me lol 
14 yr old girl(04/30/07  8:40:25 PM): that is from jerome to filer
14 yr old girl(04/30/07  8:40:34 PM): lol i can make u sum spagetti
14 yr old girl(04/30/07  8:40:49 PM): thats wat i had and its still warm
vipper_131 (04/30/07  8:41:09 PM): lol sweet
vipper_131 (04/30/07  8:41:15 PM): u wana suck me wile i eat lol <span class="code_c">(<i>yuck!!
</i>)14 yr old girl(04/30/07  8:41:22 PM): lol u want me to?
vipper_131 (04/30/07  8:41:29 PM): what ever u want lol 
vipper_131 (04/30/07  8:41:33 PM): it didnt work 
vipper_131 (04/30/07  8:41:36 PM): i need the addres 
14 yr old girl(04/30/07  8:41:36 PM): :D
vipper_131 (04/30/07  8:41:39 PM): and ill git it 
14 yr old girl(04/30/07  8:41:54 PM): my addy is **  highway **
vipper_131 (04/30/07  8:42:20 PM): so what all do u wana do 
vipper_131 (04/30/07  8:42:22 PM): to me 
14 yr old girl(04/30/07  8:42:29 PM): i just want u to get here lol
14 yr old girl(04/30/07  8:42:34 PM): i have been waitin all day
14 yr old girl(04/30/07  8:43:37 PM): i saw u type but didnt get anything
14 yr old girl(04/30/07  8:43:42 PM): u still here?
vipper_131 (04/30/07  8:43:51 PM): ya
14 yr old girl(04/30/07  8:43:57 PM): my apt number is 43
vipper_131 (04/30/07  8:44:00 PM): so what u gana do when i nock on ur door
14 yr old girl(04/30/07  8:44:13 PM): im gonna run and open it and give u a big hug
vipper_131 (04/30/07  8:44:26 PM): lol then what 
14 yr old girl(04/30/07  8:44:38 PM): lol :\"&gt;
vipper_131 (04/30/07  8:44:43 PM): tell tell 
vipper_131 (04/30/07  8:44:44 PM): please
14 yr old girl(04/30/07  8:44:48 PM): u know
vipper_131 (04/30/07  8:44:53 PM): what  do i no 
14 yr old girl(04/30/07  8:45:02 PM): wat we talked about
vipper_131 (04/30/07  8:45:09 PM): im a stuped trucker lol so ur gana  have to tell me what that was
14 yr old girl(04/30/07  8:45:15 PM): hey can u park in the bowlin alley parking lot?
14 yr old girl(04/30/07  8:45:28 PM): and u can walk thru the fence and rite up to the apts
vipper_131 (04/30/07  8:45:34 PM): ya im gana drop my traylor
14 yr old girl(04/30/07  8:45:39 PM): ok
14 yr old girl(04/30/07  8:45:58 PM): i am in apt 43
14 yr old girl(04/30/07  8:46:03 PM): im so excited
vipper_131 (04/30/07  8:46:26 PM): u wana have me call u when i block my number 
vipper_131 (04/30/07  8:46:39 PM): i wont call unles u tell me to just in case i git lost lol somehow
14 yr old girl(04/30/07  8:46:45 PM): im scared to
14 yr old girl(04/30/07  8:46:53 PM): my dad always checks and questions
vipper_131 (04/30/07  8:46:58 PM): it will take me like 5 min to disconect my raylor then ill kid nap u and show u it 
14 yr old girl(04/30/07  8:47:05 PM): ooh kool!!
vipper_131 (04/30/07  8:47:09 PM): tell him it was the rong number
14 yr old girl(04/30/07  8:47:10 PM): im so excited
14 yr old girl(04/30/07  8:47:22 PM): wel lif u come rite into town u will see my building
vipper_131 (04/30/07  8:47:27 PM): cool 
14 yr old girl(04/30/07  8:47:28 PM): and the bowling alley
14 yr old girl(04/30/07  8:47:45 PM): the bowling alley is cedar lanes
vipper_131 (04/30/07  8:47:48 PM): well anywaY ITS A BIG WHITE SIMI BE READY FOR ME AT THE BOLING ALLY
vipper_131 (04/30/07  8:47:49 PM): K 
vipper_131 (04/30/07  8:47:54 PM): AND COME UP TO THE TRUCK 
14 yr old girl(04/30/07  8:48:06 PM): lol noway
vipper_131 (04/30/07  8:48:12 PM): y not scard 
vipper_131 (04/30/07  8:48:13 PM): lol 
14 yr old girl(04/30/07  8:48:17 PM): :(
vipper_131 (04/30/07  8:48:19 PM): chickin 
14 yr old girl(04/30/07  8:48:23 PM): im gonna go get ur spagetti ready
vipper_131 (04/30/07  8:48:27 PM): lol ok 
14 yr old girl(04/30/07  8:48:32 PM): see in in ?
vipper_131 (04/30/07  8:48:33 PM): ha ha ha 
14 yr old girl(04/30/07  8:48:43 PM): 20 mins?
vipper_131 (04/30/07  8:48:49 PM): ya abought that i think 
vipper_131 (04/30/07  8:48:58 PM): so ill be gone for a few all see u in a few 
14 yr old girl(04/30/07  8:49:00 PM): yay!!
14 yr old girl(04/30/07  8:49:17 PM): im so happy!! see ya later!! im gonna freshen up and get ur stuff on
14 yr old girl(04/30/07  8:49:38 PM): bye tty in a lil bit!! yippeee!!
14 yr old girl(04/30/07  9:25:13 PM): u there?
14 yr old girl(04/30/07  9:35:53 PM): u still at the truckstop?



Some pervs never learn



CHAT:

<span class="code_chat"><u>July 18, 2008</u>
vipper_131 (07/18/08 11:08:49 PM): hello
vipper_131 (07/18/08 11:08:50 PM): how r u
vipper_131 (07/18/08 11:08:52 PM): asl
15 year old girl(07/18/08 11:09:15 PM): hey
15 year old girl(07/18/08 11:09:15 PM): im
15 year old girl(07/18/08 11:09:17 PM): good
15 year old girl(07/18/08 11:09:23 PM): trying to get in as many lines as u
15 year old girl(07/18/08 11:09:28 PM): 15/f/idaho  u?
vipper_131 (07/18/08 11:09:35 PM): o  have a good day
vipper_131 (07/18/08 11:09:37 PM): im to old for u <span class="code_c">(<i>If only he would have stopped there.</i>)
15 year old girl(07/18/08 11:09:44 PM): ?
vipper_131 (07/18/08 11:13:16 PM): cuz im 23
15 year old girl(07/18/08 11:13:35 PM): why is that to old?
vipper_131 (07/18/08 11:13:41 PM):  cuz ur not 18 <span class="code_c">(<i>And a second good answer.</i>)
15 year old girl(07/18/08 11:13:57 PM): but im 15...which is close to 18.
vipper_131 (07/18/08 11:14:02 PM): not anof
vipper_131 (07/18/08 11:14:04 PM):  l;ol
vipper_131 (07/18/08 11:14:09 PM): we could talk but no more <span class="code_c">(<i>Then it all starts to go down the drain.
</i>)15 year old girl(07/18/08 11:14:15 PM): ok
15 year old girl(07/18/08 11:14:26 PM): do u live in idaho?
vipper_131 (07/18/08 11:14:32 PM): twin
15 year old girl(07/18/08 11:15:03 PM): thats cool
vipper_131 (07/18/08 11:15:05 PM): ya
vipper_131 (07/18/08 11:15:14 PM): i ges im movin back to idaho falls soon
vipper_131 (07/18/08 11:15:18 PM): i hate twin
15 year old girl(07/18/08 11:15:21 PM): why?
vipper_131 (07/18/08 11:16:00 PM):  cuz
vipper_131 (07/18/08 11:16:04 PM):  nothin to do
15 year old girl(07/18/08 11:16:17 PM): It could be worse.
vipper_131 (07/18/08 11:16:24 PM):  lol how
15 year old girl(07/18/08 11:16:34 PM): You could live somewhere like Filer
15 year old girl(07/18/08 11:16:37 PM): see...it can be worse.
vipper_131 (07/18/08 11:16:51 PM): lol ya
vipper_131 (07/18/08 11:16:53 PM):  tru
vipper_131 (07/18/08 11:16:54 PM): lol
15 year old girl(07/18/08 11:17:01 PM): see- theres always a good side ;)
vipper_131 (07/18/08 11:17:06 PM):  lol
vipper_131 (07/18/08 11:17:07 PM): na
vipper_131 (07/18/08 11:17:17 PM):  but see i  have a choice to  move u ont <span class="code_c">(<i>He DID have a choice.</i>)
vipper_131 (07/18/08 11:17:18 PM): dont
15 year old girl(07/18/08 11:17:37 PM): i could run away.  but i wont.  because i have no money. haha
vipper_131 (07/18/08 11:17:43 PM): lol ha ha
vipper_131 (07/18/08 11:17:52 PM): so y u online
15 year old girl(07/18/08 11:18:08 PM): Probly the same reason u are.  BORED.
vipper_131 (07/18/08 11:18:12 PM): lol
vipper_131 (07/18/08 11:18:36 PM):  ya but i have outher intentions but not   finding anytakers or  anyone old anof to talk that way to lol
15 year old girl(07/18/08 11:18:53 PM): what intentions do u have?
vipper_131 (07/18/08 11:19:08 PM):  not gana git into it lol  adult intentions
15 year old girl(07/18/08 11:19:23 PM): oh ok.  Im not a baby, you know.
vipper_131 (07/18/08 11:19:28 PM): thats ok
vipper_131 (07/18/08 11:19:50 PM):   tomay ppl git into troble for talking  adalt like to    girls  ur age  <span class="code_c">(<i>No way.  Seriously? How did he know?</i>)
15 year old girl(07/18/08 11:20:00 PM): again...im not a baby :P
vipper_131 (07/18/08 11:20:01 PM): dont mean to be rude
15 year old girl(07/18/08 11:20:14 PM): how can u get in trouble for jus talking?
vipper_131 (07/18/08 11:20:21 PM): it hapens
vipper_131 (07/18/08 11:20:23 PM): lol
vipper_131 (07/18/08 11:20:25 PM):  balive me
15 year old girl(07/18/08 11:20:31 PM): hmmm. ok.
vipper_131 (07/18/08 11:20:49 PM): lol that one is my fave
15 year old girl(07/18/08 11:20:54 PM): lol  what is that????????  haha
vipper_131 (07/18/08 11:21:10 PM): it is funny
15 year old girl(07/18/08 11:21:19 PM): ya it is
vipper_131 (07/18/08 11:21:25 PM):  so what do u do for fun
15 year old girl(07/18/08 11:21:29 PM): fat guys with no money are my favorite
15 year old girl(07/18/08 11:21:31 PM): heh.
15 year old girl(07/18/08 11:21:49 PM): ummm. lets see
15 year old girl(07/18/08 11:22:09 PM): i hang out with friends and um...friends... and uh... friends
15 year old girl(07/18/08 11:22:17 PM): and then i spend time on the computer
vipper_131 (07/18/08 11:22:18 PM): lol
